UT;SO;DI;DE;ID;NR;TC;Z9;U1;PU;PI;SN;EI;J9;JI;SC;OA;subject
WOS:000450852300003;RESEARCH JOURNAL OF TEXTILE AND APPAREL;10.1108/RJTA-02-2018-0015;"Heritage; Digital humanities; Digital archive; Company archives; Fashion exhibitions; Fashion museum";"MUSEUM; KNOWLEDGE";52;0;0;2;EMERALD GROUP PUBLISHING LTD;BINGLEY;1560-6074;NA;RES J TEXT APPAR;Res. J. Text. Appar.;Materials Science;NA;Charms
WOS:000450852300003;RESEARCH JOURNAL OF TEXTILE AND APPAREL;10.1108/RJTA-02-2018-0015;"Heritage; Digital humanities; Digital archive; Company archives; Fashion exhibitions; Fashion museum";"MUSEUM; KNOWLEDGE";52;0;0;2;EMERALD GROUP PUBLISHING LTD;BINGLEY;1560-6074;NA;RES J TEXT APPAR;Res. J. Text. Appar.;Materials Science;NA;Defence against the dark arts
WOS:000450852300004;RESEARCH JOURNAL OF TEXTILE AND APPAREL;10.1108/RJTA-03-2018-0023;"Industry 4.0; Digital transformation; Design driven companies; Fashion business models; Fashion design processes; Fashion innovation";TECHNOLOGY;56;3;3;19;EMERALD GROUP PUBLISHING LTD;BINGLEY;1560-6074;NA;RES J TEXT APPAR;Res. J. Text. Appar.;Materials Science;Green Accepted;Divination
WOS:000450852300004;RESEARCH JOURNAL OF TEXTILE AND APPAREL;10.1108/RJTA-03-2018-0023;"Industry 4.0; Digital transformation; Design driven companies; Fashion business models; Fashion design processes; Fashion innovation";TECHNOLOGY;56;3;3;19;EMERALD GROUP PUBLISHING LTD;BINGLEY;1560-6074;NA;RES J TEXT APPAR;Res. J. Text. Appar.;Materials Science;Green Accepted;Charms
WOS:000450852300004;RESEARCH JOURNAL OF TEXTILE AND APPAREL;10.1108/RJTA-03-2018-0023;"Industry 4.0; Digital transformation; Design driven companies; Fashion business models; Fashion design processes; Fashion innovation";TECHNOLOGY;56;3;3;19;EMERALD GROUP PUBLISHING LTD;BINGLEY;1560-6074;NA;RES J TEXT APPAR;Res. J. Text. Appar.;Materials Science;Green Accepted;Transfiguration
WOS:000486141000001;METACRITIC JOURNAL FOR COMPARATIVE STUDIES AND THEORY;10.24193/mjcst.2018.6.01;"Material rhetoric; augmented reality; Pokemon Go; Wikitude; virtual community; game studies; posthumanism";NA;9;0;0;0;UNIV BABES-BOLYAI, FAC LETTERS, PHANTASMA CTR IMAGINATION STUDIES;CLUJ-NAPOCA;NA;2457-8827;METACRITIC J COMP ST;Metacritic J. Comp. Stud. Theory;Literature;DOAJ Gold;Defence against the dark arts
WOS:000486141000001;METACRITIC JOURNAL FOR COMPARATIVE STUDIES AND THEORY;10.24193/mjcst.2018.6.01;"Material rhetoric; augmented reality; Pokemon Go; Wikitude; virtual community; game studies; posthumanism";NA;9;0;0;0;UNIV BABES-BOLYAI, FAC LETTERS, PHANTASMA CTR IMAGINATION STUDIES;CLUJ-NAPOCA;NA;2457-8827;METACRITIC J COMP ST;Metacritic J. Comp. Stud. Theory;Literature;DOAJ Gold;Herbology
WOS:000486141000001;METACRITIC JOURNAL FOR COMPARATIVE STUDIES AND THEORY;10.24193/mjcst.2018.6.01;"Material rhetoric; augmented reality; Pokemon Go; Wikitude; virtual community; game studies; posthumanism";NA;9;0;0;0;UNIV BABES-BOLYAI, FAC LETTERS, PHANTASMA CTR IMAGINATION STUDIES;CLUJ-NAPOCA;NA;2457-8827;METACRITIC J COMP ST;Metacritic J. Comp. Stud. Theory;Literature;DOAJ Gold;Potions
WOS:000486141000001;METACRITIC JOURNAL FOR COMPARATIVE STUDIES AND THEORY;10.24193/mjcst.2018.6.01;"Material rhetoric; augmented reality; Pokemon Go; Wikitude; virtual community; game studies; posthumanism";NA;9;0;0;0;UNIV BABES-BOLYAI, FAC LETTERS, PHANTASMA CTR IMAGINATION STUDIES;CLUJ-NAPOCA;NA;2457-8827;METACRITIC J COMP ST;Metacritic J. Comp. Stud. Theory;Literature;DOAJ Gold;Transfiguration
WOS:000486141000004;METACRITIC JOURNAL FOR COMPARATIVE STUDIES AND THEORY;10.24193/mjcst.2018.6.04;"quantitative studies; macroanalysis; distant reading; statistical analysis; sociology of literature";NA;22;0;0;0;UNIV BABES-BOLYAI, FAC LETTERS, PHANTASMA CTR IMAGINATION STUDIES;CLUJ-NAPOCA;NA;2457-8827;METACRITIC J COMP ST;Metacritic J. Comp. Stud. Theory;Literature;DOAJ Gold;Defence against the dark arts
WOS:000486141000004;METACRITIC JOURNAL FOR COMPARATIVE STUDIES AND THEORY;10.24193/mjcst.2018.6.04;"quantitative studies; macroanalysis; distant reading; statistical analysis; sociology of literature";NA;22;0;0;0;UNIV BABES-BOLYAI, FAC LETTERS, PHANTASMA CTR IMAGINATION STUDIES;CLUJ-NAPOCA;NA;2457-8827;METACRITIC J COMP ST;Metacritic J. Comp. Stud. Theory;Literature;DOAJ Gold;Transfiguration
WOS:000486141000004;METACRITIC JOURNAL FOR COMPARATIVE STUDIES AND THEORY;10.24193/mjcst.2018.6.04;"quantitative studies; macroanalysis; distant reading; statistical analysis; sociology of literature";NA;22;0;0;0;UNIV BABES-BOLYAI, FAC LETTERS, PHANTASMA CTR IMAGINATION STUDIES;CLUJ-NAPOCA;NA;2457-8827;METACRITIC J COMP ST;Metacritic J. Comp. Stud. Theory;Literature;DOAJ Gold;Arithmancy
WOS:000469113700001;JOURNAL OF LIBRARY AND INFORMATION STUDIES;10.6182/jlis.201812_16(2).001;"Domain Analysis; Digital Humanities; International Conference of Digital Archives and Digital Humanities (Taipei, Taiwan)";INFORMATION-SCIENCE;19;0;0;3;NATL TAIWAN UNIV, DEPT LIBRARY & INFORMATION SCIENCE;TAIPEI;1606-7509;2309-9119;J LIBR INFORM STUD;J. Libr. Inf. Stud.;Information Science & Library Science;DOAJ Gold;Defence against the dark arts
